,Suburb,Rooms,Type,Method,SellerG,Regionname,Propertycount,Distance,CouncilArea,Bedroom2,Bathroom,Car,Landsize,BuildingArea,Price
1,Abbotsford,2,h,S,Biggin,Northern Metropolitan,4019.0,2.5,Yarra,2.0,1.0,0.0,156.0,79.0,1035000.0
2,Abbotsford,3,h,SP,Biggin,Northern Metropolitan,4019.0,2.5,Yarra,3.0,2.0,0.0,134.0,150.0,1465000.0
4,Abbotsford,4,h,VB,Nelson,Northern Metropolitan,4019.0,2.5,Yarra,3.0,1.0,2.0,120.0,142.0,1600000.0
6,Abbotsford,3,h,S,Nelson,Northern Metropolitan,4019.0,2.5,Yarra,4.0,2.0,0.0,245.0,210.0,1876000.0
7,Abbotsford,2,h,S,Nelson,Northern Metropolitan,4019.0,2.5,Yarra,2.0,1.0,2.0,256.0,107.0,1636000.0
9,Abbotsford,2,h,S,Biggin,Northern Metropolitan,4019.0,2.5,Yarra,3.0,1.0,2.0,220.0,75.0,1097000.0
11,Abbotsford,3,h,VB,Nelson,Northern Metropolitan,4019.0,2.5,Yarra,3.0,2.0,2.0,214.0,190.0,1350000.0
12,Abbotsford,2,u,S,Biggin,Northern Metropolitan,4019.0,2.5,Yarra,2.0,2.0,1.0,0.0,94.0,750000.0
15,Abbotsford,2,h,S,Jellis,Northern Metropolitan,4019.0,2.5,Yarra,2.0,1.0,2.0,238.0,97.0,1310000.0
16,Abbotsford,3,h,S,Jellis,Northern Metropolitan,4019.0,2.5,Yarra,3.0,2.0,1.0,113.0,110.0,1200000.0
17,Abbotsford,3,h,S,LITTLE,Northern Metropolitan,4019.0,2.5,Yarra,2.0,1.0,1.0,138.0,105.0,1176500.0
19,Abbotsford,2,h,S,Biggin,Northern Metropolitan,4019.0,2.5,Yarra,2.0,1.0,1.0,150.0,73.0,890000.0
20,Abbotsford,4,h,PI,Kay,Northern Metropolitan,4019.0,2.5,Yarra,4.0,2.0,2.0,780.0,135.0,1330000.0
22,Abbotsford,3,u,S,Jellis,Northern Metropolitan,4019.0,2.5,Yarra,3.0,2.0,2.0,4290.0,27.0,1090000.0
23,Abbotsford,2,u,S,Collins,Northern Metropolitan,4019.0,2.5,Yarra,2.0,1.0,1.0,0.0,60.0,500000.0
24,Abbotsford,2,h,PI,Biggin,Northern Metropolitan,4019.0,2.5,Yarra,2.0,2.0,1.0,124.0,135.0,1100000.0
25,Abbotsford,2,h,S,Marshall,Northern Metropolitan,4019.0,2.5,Yarra,2.0,1.0,0.0,147.0,85.0,1315000.0
27,Abbotsford,3,h,PI,Nelson,Northern Metropolitan,4019.0,2.5,Yarra,3.0,3.0,1.0,166.0,174.0,1447500.0
